video_id,topic,topic_label
7EhM8uwoYo4,-1,Outlier
7eMQ1AGlA1E,13,comparison / insecurity / ego
7Epg7jynWa0,16,narcissist / parent / narcissism
7-ex2qeAkdc,-1,Outlier
7fofx_vVHvU,9,parent / boundary / kid
7hI8uA3sC4o,-1,Outlier
7hj1gnmm1s8,10,addiction / substance / cannabis
7hsD1mWp8pE,23,kid / intelligence / intellect
7iD6L-4glww,-1,Outlier
7_IkudJVoU4,10,addiction / substance / cannabis
7jDPsBh2AyQ,1,game / dad / friend
7khssDVKKXc,-1,Outlier
7lmmDqW0xfs,-1,Outlier
7P29lfYJLw0,-1,Outlier
7_Q2xfoSiuw,0,motivation / job / brain
7rdcIqCSQuk,6,gender / dude / emotion
7SFhQBxdznQ,0,motivation / job / brain
7_T_igJe7EA,14,burnout / employee / job
7UikFbVuS5c,-1,Outlier
7VaHh9EUcfE,1,game / dad / friend
7VfSCQnGfk4,-1,Outlier
7wEJ5QFT4b8,4,relationship / love / friend
7w-fahak9bg,4,relationship / love / friend
7XPngxfKM9Y,-1,Outlier
7xXARKA3O_Q,-1,Outlier
7yiBQ7yD-G0,11,sleep / bed / caffeine
7ZkptkAW_JM,16,narcissist / parent / narcissism
7z-OAmqE_Vw,-1,Outlier
84Vql_LcyPc,9,parent / boundary / kid
86JoC1PTmnE,1,game / dad / friend
86sYinrLuPA,12,meditation / technique / practice
887f47tPyck,0,motivation / job / brain
89YLDv7Rkpk,15,pornography / porn / addiction
8A0qE24aiEM,-1,Outlier
8AGAUNmym_M,-1,Outlier
8aj241Pf8vQ,19,hour / work / technology
8bAEuX2w2Ow,1,game / dad / friend
8biBQ18wApY,-1,Outlier
8CRBecuDPrY,0,motivation / job / brain
8D5dBZ3WD_A,-1,Outlier
8dRZk74OyMk,-1,Outlier
8ehP6ZcvhFg,7,depression / therapist / therapy
8gKBwOLGDBc,11,sleep / bed / caffeine
8H-mJlp16jc,24,generation / formula / despair
8-ism9vC-a4,-1,Outlier
8Jdci1z0DJU,14,burnout / employee / job
8juXAIjmBPc,1,game / dad / friend
8KaDTH0kWNo,2,game / dopamine / brain
8m16IoLr-GM,3,trauma / anger / emotion
-8Mlgw2K6eM,-1,Outlier
8pQBdZ3RdfA,-1,Outlier
8PYhEWK2wVA,0,motivation / job / brain
8pyPnIhAHhI,2,game / dopamine / brain
8s5KEE9-JVs,11,sleep / bed / caffeine
8TkbP4XfggM,3,trauma / anger / emotion
8TL-K-dc4n4,-1,Outlier
8uT05YjbEoY,4,relationship / love / friend
8uypYN3K-3s,26,loneliness / arousal / being
8uZ9ZsPNkcg,2,game / dopamine / brain
8vbe5ph3uCw,5,adhd / brain / medication
8vbGBJGZg1s,1,game / dad / friend
8vRf40bqXAU,10,addiction / substance / cannabis
8XFdaOnx-Gs,-1,Outlier
8xjGLBHAF28,-1,Outlier
90adCirK5Sw,-1,Outlier
90tZ7An9DLM,-1,Outlier
932eSyHbUgw,-1,Outlier
93sckutXQjk,-1,Outlier
96JkqXKwDeo,2,game / dopamine / brain
98ZD65io6aY,0,motivation / job / brain
99lcFWxQjSs,4,relationship / love / friend
9a7xpCAiYcQ,11,sleep / bed / caffeine
9bkDU2juYU8,0,motivation / job / brain
9DuW7NlMqxo,3,trauma / anger / emotion
9EczG_jGhGA,27,vision / contact / introvert
9G3W_Fz8kXg,-1,Outlier
9hjtQwj4qqI,-1,Outlier
9ILKZIMfx44,6,gender / dude / emotion
9J79-kVq5sg,0,motivation / job / brain
9jB8PXg6zJw,11,sleep / bed / caffeine
9kJu2P51TF0,-1,Outlier
9mDK9dquUHw,-1,Outlier
9nvwdA3UZZ8,0,motivation / job / brain
9rtwTzgoD_0,1,game / dad / friend
9TWCL0oJF0k,-1,Outlier
9UKl9WOihBE,-1,Outlier
9wNKuMyNafA,-1,Outlier
9XVXD7Ar8Z4,3,trauma / anger / emotion
9ZVFhGgIomM,1,game / dad / friend
a1GD2SJDT-o,20,sex / asexuality / penis
A2LTyNuxAAY,-1,Outlier
a3IIYz-UlK0,-1,Outlier
a4RhjdEiisc,-1,Outlier
a9fU3t1py2o,-1,Outlier
AbwRty416Q8,-1,Outlier
AC3AmMIlNbw,7,depression / therapist / therapy
ACI7xDjajPg,4,relationship / love / friend
ACrofIeRN7Q,-1,Outlier
aEGukyCsHMg,3,trauma / anger / emotion
AEYSSpEUSjY,6,gender / dude / emotion
Af8UZZldDkw,-1,Outlier
AFceCu-cXEc,-1,Outlier
afmZNzN4PYk,-1,Outlier
AgABB2PmzkQ,-1,Outlier
aGFqdVqDhqo,0,motivation / job / brain
aGGlz1XDtH8,0,motivation / job / brain
agsEaSF4KaE,5,adhd / brain / medication
aGYtQAHl7FM,-1,Outlier
Ah5E-TyWYvU,3,trauma / anger / emotion
AHA59zM38pU,6,gender / dude / emotion
AHCCxQ-cnao,0,motivation / job / brain
AhXOE4ETKiY,4,relationship / love / friend
aIgHCOzx5kg,4,relationship / love / friend
Ail2JTYQBvg,2,game / dopamine / brain
a-IuiEmnML4,0,motivation / job / brain
AiXiyLJz8-U,0,motivation / job / brain
aJ61ddqfIuI,19,hour / work / technology
ajfePjghpA4,16,narcissist / parent / narcissism
aJzBiFpCZNY,-1,Outlier
aKHov_Nuhso,0,motivation / job / brain
aKpN9cs5KXc,3,trauma / anger / emotion
al8OrbSAO0s,-1,Outlier
ALa1Lm2hTo8,16,narcissist / parent / narcissism
AlctqZwHnxc,-1,Outlier
aLm8Z8udEvk,14,burnout / employee / job
ALQM0WKBxvY,0,motivation / job / brain
ALtk7CSfrvQ,12,meditation / technique / practice
Am_DDCzFmAM,2,game / dopamine / brain
AMfeduZI8DE,9,parent / boundary / kid
AMK1HZMdyiQ,6,gender / dude / emotion
Aml2WB3Nqk8,7,depression / therapist / therapy
AP_3nc8seEI,5,adhd / brain / medication
apCxknrc8VE,-1,Outlier
APmNktwCK_Q,-1,Outlier
APMt3dO96Js,0,motivation / job / brain
aR8GcGLWmDU,-1,Outlier
ARfW5Juhe_U,1,game / dad / friend
AS7wrOX9q4w,-1,Outlier
a_SSqyKksuo,0,motivation / job / brain
ASxINTi_jAg,0,motivation / job / brain
A-T2cCCIACk,7,depression / therapist / therapy
atlzcVoUCZo,17,flag / relationship / partner
AtsxpnXYbVc,20,sex / asexuality / penis
aujiheOjmmQ,23,kid / intelligence / intellect
auwsCdUDMwU,2,game / dopamine / brain
auY9uQTqeME,-1,Outlier
aVJfCgKugAI,-1,Outlier
AvNCvCKJRBg,1,game / dad / friend
AwDdyvHNiJs,6,gender / dude / emotion
AwKiOZwmNWo,11,sleep / bed / caffeine
aWz5n_cOqrs,-1,Outlier
axpYZJJ3MW0,1,game / dad / friend
-AXVveJYpVU,22,psychosis / chatbot / risk
Axwggf9mS9o,25,bully / aggression / bullying
AyiZ-_KyZyA,13,comparison / insecurity / ego
aZa6t4vlmMw,-1,Outlier
azz4dzlccbg,20,sex / asexuality / penis
B05belFSkTI,-1,Outlier
b1YRDGqp9kk,5,adhd / brain / medication
B_2pmMwX9lc,20,sex / asexuality / penis
b2RhXCugEW4,12,meditation / technique / practice
B3mAfQ32Njs,-1,Outlier
b4gNcjuu4LU,-1,Outlier
B6GZp-cVskw,-1,Outlier
-B6TXF_UJ9M,1,game / dad / friend
B7GOmgRXJOM,27,vision / contact / introvert
baUP0m6-pQk,4,relationship / love / friend
bavdneN9sKg,0,motivation / job / brain
bbpryagkiro,0,motivation / job / brain
bbQnnAbWBfE,-1,Outlier
bBtRDJD52pA,2,game / dopamine / brain
bbvz4j-oPrM,-1,Outlier
Bc_2P3AGkeI,-1,Outlier
Bca9jGaHmLA,1,game / dad / friend
Bcy2aA-Opbg,4,relationship / love / friend
bDhqTf5eJH4,7,depression / therapist / therapy
